id	title	runner	command	expect	assertion
E2E-108	Parser negative duration	shell-parser	config> set standalone retention -1s	error	Invalid duration error.
E2E-109	Parser size suffix error	shell-parser	config> set standalone max-size 1t	error	Invalid size suffix error.
E2E-110	Parser rejects standalone disable arity	shell-parser	config> set standalone disabled plan nope	error	Usage error; disabled takes no options.
E2E-111	Shell restores standalone enabled state	shell	config> set standalone disabled	ok_or_clear	Standalone config disabled; restore safe state.
E2E-112	Shell runs standalone check without save	shell	request> standalone run once festa smoke	ok_or_clear	One-off standalone run runs without saving.
E2E-113	Parser rejects standalone run flag arity	shell-parser	request> standalone run once festa smoke save extra	error	Usage/unknown option error.
E2E-114	Parser accepts standalone run option order	shell-parser	request> standalone run once save festa smoke	ok	Flag-before-name form parses.
E2E-115	Shell syncs with explicit mark-synced	shell	sync standalone runs output <sync-dir> limit 1 mark-synced	ok_or_clear	Sync downloads at most one run and marks it synced.
E2E-116	Shell syncs with default mark-synced	shell	sync standalone runs output <sync-dir> limit 1	ok_or_clear	Default sync marks downloaded runs synced.
E2E-117	Shell conflicting sync flags	shell	sync standalone runs output <sync-dir> limit 1 mark-synced keep-unsynced	error	Conflicting sync flags are rejected.
E2E-118	Shell conflicting sync flags reversed	shell	sync standalone runs output <sync-dir> limit 1 keep-unsynced mark-synced	error	Conflicting sync flags are rejected when reversed.
E2E-119	Parser limit boundary	shell-parser	sync standalone runs limit 0	error	Sync limit must be positive.
E2E-120	Shell band value 2.4 GHz	shell	show wifi scan 2.4ghz	ok_or_clear	Cached scan filtered to 2.4 GHz succeeds.
E2E-121	Shell band value 5 GHz	shell	show wifi scan 5ghz	ok_or_clear	Cached scan filtered to 5 GHz succeeds.
E2E-122	Shell band value 6 GHz	shell	show wifi scan 6ghz	ok_or_clear	Cached scan filtered to 6 GHz succeeds even if empty.
E2E-123	Shell band value 60 GHz	shell	show wifi scan 60ghz	ok_or_clear	Cached scan filtered to 60 GHz succeeds even if empty.
E2E-124	Shell fresh option order	shell	show wifi scan fresh 2.4ghz timeout 12000	ok_or_clear	Fresh scan accepts band before timeout.
E2E-125	Shell fresh option order reversed	shell	show wifi scan fresh timeout 12000 5ghz	ok_or_clear	Fresh scan accepts timeout before band.
E2E-126	Shell fresh 6 GHz	shell	show wifi scan fresh timeout 12000 6ghz	ok_or_clear	Fresh scan accepts 6 GHz band.
E2E-127	Shell fresh 60 GHz	shell	show wifi scan fresh timeout 12000 60ghz	ok_or_clear	Fresh scan accepts 60 GHz band even if empty/unsupported.
E2E-128	Shell detail target-band order	shell	"show wifi scan detail ""<ssid>"" all"	ok_or_clear	Detail accepts target before band.
E2E-129	Shell detail band-target order	shell	"show wifi scan detail 5ghz ""<ssid>"""	ok_or_clear	Detail accepts band before target.
E2E-130	Parser detail missing target	shell-parser	show wifi scan detail	error	Usage error.
E2E-131	Parser accepts scan-detail target named all	shell-parser	show wifi scan detail all	ok	The positional `all` value is accepted as the scan-detail target.
E2E-132	Parser detail over-arity	shell-parser	"show wifi scan detail all ""<ssid>"" 5ghz"	error	Usage error; too many args/band twice.
E2E-133	Parser missing timeout value	shell-parser	show wifi scan fresh timeout	error	`timeout requires a value`.
E2E-134	Parser timeout lower boundary	shell-parser	show wifi scan fresh timeout 0	error	Timeout must be positive.
E2E-135	Parser duplicate band	shell-parser	show wifi scan fresh 5ghz 6ghz	error	Fresh band specified twice.
E2E-136	Parser invalid scan argument	shell-parser	show wifi scan bogus	error	Unsupported Wi-Fi band or unknown scan argument.
E2E-137	Parser rejects duplicate scan timeout	shell-parser	show wifi scan fresh timeout 100 timeout 200	error	Duplicate scan timeout values are rejected.
E2E-138	Shell accepts connect SSID before options	shell	"request> wifi connect ""<ssid>"" passphrase <psk>"	ok_or_clear	Positional SSID before options connects with default security/timeout.
E2E-139	Shell accepts connect options before SSID	shell	"request> wifi connect passphrase <psk> ""<ssid>"""	ok_or_clear	SSID after options connects.
E2E-140	Shell security wpa2	shell	"request> wifi connect passphrase <psk> security wpa2 timeout 25000 ""<ssid>"""	ok_or_clear	Either connects using WPA2 or returns clear agent unsupported/security mismatch error.
E2E-141	Shell security wpa3	shell	"request> wifi connect passphrase <psk> security wpa3 timeout 25000 ""<ssid>"""	ok_or_clear	Connects to WPA3 test AP or returns clear mismatch error.
E2E-142	Shell security transition	shell	"request> wifi connect passphrase <psk> security transition timeout 25000 ""<ssid>"""	ok_or_clear	Connects or returns clear mismatch error.
E2E-143	Shell band all	shell	"request> wifi connect passphrase <psk> band all timeout 25000 ""<ssid>"""	ok_or_clear	Connects with all-band selector.
E2E-144	Shell connect band 2.4 GHz	shell	"request> wifi connect passphrase <psk> band 2.4ghz timeout 25000 ""<ssid>"""	ok_or_clear	Connects if AP has 2.4 GHz BSSID, otherwise clear timeout/failure.
E2E-145	Shell connect band 5 GHz	shell	"request> wifi connect passphrase <psk> band 5ghz timeout 25000 ""<ssid>"""	ok_or_clear	Connects on observed 5 GHz AP.
E2E-146	Shell connect band 6 GHz	shell	"request> wifi connect passphrase <psk> band 6ghz timeout 25000 ""<ssid>"""	ok_or_clear	Either connects if available or clear timeout/failure.
E2E-147	Shell connect band 60 GHz	shell	"request> wifi connect passphrase <psk> band 60ghz timeout 25000 ""<ssid>"""	ok_or_clear	Either connects if available or clear timeout/failure; no parser panic.
E2E-148	Shell MAC auto	shell	"request> wifi connect passphrase <psk> mac-randomization auto timeout 25000 ""<ssid>"""	ok_or_clear	Connect command accepts auto MAC randomization.
E2E-149	Shell MAC none	shell	"request> wifi connect passphrase <psk> mac-randomization none timeout 25000 ""<ssid>"""	ok_or_clear	Connect command accepts no MAC randomization.
E2E-150	Shell MAC persistent	shell	"request> wifi connect passphrase <psk> mac-randomization persistent timeout 25000 ""<ssid>"""	ok_or_clear	Connect command accepts persistent MAC randomization.
E2E-151	Shell MAC non-persistent	shell	"request> wifi connect passphrase <psk> mac-randomization non-persistent timeout 25000 ""<ssid>"""	ok_or_clear	Connect command accepts non-persistent MAC randomization.
E2E-152	Shell BSSID option	shell	"request> wifi connect passphrase <psk> bssid <bssid> timeout 25000 ""<ssid>"""	ok_or_clear	Connects to the specified BSSID if still present; otherwise clear BSSID failure.
E2E-153	Parser duplicate value option	shell-parser	"request> wifi connect passphrase <psk> security auto security wpa3 ""<ssid>"""	error	Duplicate security values are rejected.
E2E-154	Parser duplicate passphrase	shell-parser	"request> wifi connect passphrase <psk> passphrase other ""<ssid>"""	error	Duplicate passphrase values are rejected.
E2E-155	Parser rejects duplicate connect timeout	shell-parser	"request> wifi connect passphrase <psk> timeout 100 timeout 200 ""<ssid>"""	error	Duplicate connect timeout values are rejected.
E2E-156	Parser missing misplaced BSSID value	shell-parser	"request> wifi connect passphrase <psk> bssid ""<ssid>"""	error	`bssid requires a value` or invalid BSSID; must not consume SSID silently.
E2E-157	Parser missing misplaced band value	shell-parser	"request> wifi connect passphrase <psk> band ""<ssid>"""	error	Unsupported Wi-Fi band or missing value error; must not consume SSID silently.
E2E-158	Parser rejects connect timeout boundary	shell-parser	"request> wifi connect passphrase <psk> timeout 0 ""<ssid>"""	error	Timeout must be positive.
E2E-159	Parser timeout parse error	shell-parser	"request> wifi connect passphrase <psk> timeout nope ""<ssid>"""	error	Timeout must be positive integer.
E2E-160	Parser extra positional	shell-parser	"request> wifi connect passphrase <psk> ""<ssid>"" extra"	error	Unexpected extra positional argument.
E2E-161	Parser empty value	shell-parser	"request> wifi connect passphrase """" ""<ssid>"""	error	Empty passphrase values are rejected.
E2E-162	Shell restores Wi-Fi connection state	shell	"request> wifi connect passphrase <psk> security auto timeout 25000 ""<ssid>"""	ok_or_clear	Restore known connected state after connect variants.
E2E-163	Shell wait SSID option	shell	"request> wifi wait connected ssid ""<ssid>"" ip timeout 12000"	ok_or_clear	Keyword `ssid` form waits successfully.
E2E-164	Shell wait BSSID	shell	request> wifi wait connected bssid <bssid> timeout 12000	ok_or_clear	Waits for BSSID if connected; otherwise clear timeout.
E2E-165	Shell wait security	shell	request> wifi wait connected security wpa3 timeout 12000	ok_or_clear	Waits for WPA3/SAE if current security matches; otherwise clear timeout.
E2E-166	Shell wait band	shell	request> wifi wait connected band 5ghz timeout 12000	ok_or_clear	Waits for 5 GHz current connection.
E2E-167	Shell wait validated	shell	request> wifi wait connected validated timeout 12000	ok_or_clear	Waits for validated network.
E2E-168	Shell combined flags	shell	request> wifi wait connected ip validated timeout 12000	ok_or_clear	Waits for both IP and validation.
E2E-169	Shell no SSID condition	shell	request> wifi wait connected timeout 1000	ok_or_clear	Waits only for any Wi-Fi connection.
E2E-170	Shell assert BSSID	shell	request> wifi assert bssid <bssid> timeout 5000	ok_or_clear	Assertion checks BSSID.
E2E-171	Shell assert security	shell	request> wifi assert security wpa3 timeout 5000	ok_or_clear	Assertion checks security.
E2E-172	Shell assert band	shell	request> wifi assert band 5ghz timeout 5000	ok_or_clear	Assertion checks band.
E2E-173	Shell assert validated	shell	request> wifi assert validated timeout 5000	ok_or_clear	Assertion checks validation.
E2E-174	Shell no explicit condition	shell	request> wifi assert timeout 5000	ok_or_clear	Assertion with no conditions succeeds only if connected; output should explain checks.
E2E-175	Parser duplicate SSID	shell-parser	"request> wifi wait connected ssid ""<ssid>"" ssid other"	error	Duplicate SSID error.
E2E-176	Parser duplicate positional SSID	shell-parser	"request> wifi wait connected ""<ssid>"" ""other"""	error	Unexpected extra positional argument.
E2E-177	Parser accepts wait security auto	shell-parser	request> wifi wait connected security auto	ok	Security `auto` is accepted by the wait parser.
E2E-178	Parser accepts assert security auto	shell-parser	request> wifi assert security auto	ok	Security `auto` is accepted by the assert parser.
E2E-179	Parser wait band validation	shell-parser	request> wifi wait connected band 7ghz	error	Unsupported Wi-Fi band.
E2E-180	Parser assert band validation	shell-parser	request> wifi assert band 7ghz	error	Unsupported Wi-Fi band.
E2E-181	Parser wait timeout boundary	shell-parser	request> wifi wait connected timeout 0	error	Timeout must be positive.
E2E-182	Parser assert timeout boundary	shell-parser	request> wifi assert timeout 0	error	Timeout must be positive.
E2E-183	Parser missing wait value	shell-parser	request> wifi wait connected bssid	error	`bssid requires a value`.
E2E-184	Parser missing assert value	shell-parser	request> wifi assert ssid	error	`ssid requires a value`.
E2E-185	Parser assert positional rejection	shell-parser	"request> wifi assert ""<ssid>"""	error	Usage error; assert does not accept positional SSID.
E2E-186	Parser wait subcommand validation	shell-parser	request> wifi wait disconnected	error	Usage error; only `connected` is supported.
E2E-187	Parser rejects duplicate assert flags	shell-parser	request> wifi assert ip ip	error	Duplicate `ip` flags are rejected.
E2E-188	Parser rejects duplicate assert timeout	shell-parser	request> wifi assert timeout 100 timeout 200	error	Duplicate assert timeout values are rejected.
E2E-189	Shell HTTP probe	shell	"request> wifi cycle passphrase <psk> count 1 http https://www.google.com/generate_204 pause 100 timeout 25000 ""<ssid>"""	ok_or_clear	One cycle connects, HTTP check passes, disconnects.
E2E-190	Shell combined probes	shell	"request> wifi cycle passphrase <psk> count 1 ping 1.1.1.1 http https://www.google.com/generate_204 pause 100 timeout 25000 ""<ssid>"""	ok_or_clear	One cycle runs both ping and HTTP probes.
E2E-191	Shell forget flag	shell	"request> wifi cycle passphrase <psk> count 1 forget pause 100 timeout 25000 ""<ssid>"""	ok_or_clear	Cycle forgets network after disconnect; reconnect after case to restore.
E2E-192	Shell restores Wi-Fi cycle state	shell	"request> wifi connect passphrase <psk> security auto timeout 25000 ""<ssid>"""	ok_or_clear	Restore connection after forget cycle.
E2E-193	Shell accepts cycle SSID before options	shell	"request> wifi cycle ""<ssid>"" passphrase <psk> count 1 pause 100 timeout 25000"	ok_or_clear	SSID before options accepted.
E2E-194	Shell connect option reuse	shell	"request> wifi cycle passphrase <psk> security wpa3 band 5ghz mac-randomization auto count 1 pause 100 timeout 25000 ""<ssid>"""	ok_or_clear	Cycle accepts connect sub-options.
E2E-195	Parser count boundary	shell-parser	"request> wifi cycle passphrase <psk> count 0 ""<ssid>"""	error	Count must be positive.
E2E-196	Parser pause boundary	shell-parser	"request> wifi cycle passphrase <psk> pause 0 ""<ssid>"""	error	Pause must be positive.
E2E-197	Parser rejects cycle timeout boundary	shell-parser	"request> wifi cycle passphrase <psk> timeout 0 ""<ssid>"""	error	Timeout must be positive.
E2E-198	Parser count parse error	shell-parser	"request> wifi cycle passphrase <psk> count nope ""<ssid>"""	error	Count parse error.
E2E-199	Parser pause parse error	shell-parser	"request> wifi cycle passphrase <psk> pause nope ""<ssid>"""	error	Pause parse error.
E2E-200	Parser missing misplaced HTTP value	shell-parser	"request> wifi cycle passphrase <psk> http ""<ssid>"""	error	`http requires a value` or invalid missing URL; must not consume SSID silently.
E2E-201	Parser rejects cycle flag arity	shell-parser	"request> wifi cycle passphrase <psk> forget yes ""<ssid>"""	error	Unexpected extra positional or option error; `forget` takes no value.
E2E-202	Parser missing misplaced ping value	shell-parser	"request> wifi cycle passphrase <psk> ping ""<ssid>"""	error	`ping requires a value` or missing SSID error; must not consume SSID silently.
E2E-203	Parser duplicate count	shell-parser	"request> wifi cycle passphrase <psk> count 1 count 2 ""<ssid>"""	error	Duplicate cycle count values are rejected.
E2E-204	Parser duplicate flag	shell-parser	"request> wifi cycle passphrase <psk> forget forget ""<ssid>"""	error	Duplicate cycle flags are rejected.
E2E-205	Shell default reconnect timeout	shell	request> wifi reconnect	ok_or_clear	Reconnects with default timeout.
E2E-206	Parser missing reconnect timeout	shell-parser	request> wifi reconnect timeout	error	`timeout requires a value`.
E2E-207	Parser reconnect timeout boundary	shell-parser	request> wifi reconnect timeout 0	error	Timeout must be positive.
E2E-208	Parser positional timeout rejection	shell-parser	request> wifi reconnect 1000	error	Usage error; shell requires `timeout <ms>` form.
E2E-209	Parser disconnect arity	shell-parser	request> wifi disconnect now	error	Usage error.
E2E-210	Parser forget missing target	shell-parser	request> wifi forget	error	Usage error.
E2E-211	Parser forget arity	shell-parser	"request> wifi forget ""<ssid>"" extra"	error	Usage error.
E2E-212	Shell monitor defaults	shell	request> monitor wifi	ok_or_clear	Monitors Wi-Fi with default duration/interval.
E2E-213	Shell interval-only path	shell	request> monitor wifi interval 500	ok_or_clear	Uses default duration and 500 ms interval.
E2E-214	Shell duration-only path	shell	request> monitor wifi duration 1500	ok_or_clear	Uses explicit duration and default interval.
E2E-215	Parser missing duration	shell-parser	request> monitor wifi duration	error	`duration requires a value`.
E2E-216	Parser missing interval	shell-parser	request> monitor wifi interval	error	`interval requires a value`.
E2E-217	Parser duration boundary	shell-parser	request> monitor wifi duration 0	error	Duration must be positive.
E2E-218	Parser interval boundary	shell-parser	request> monitor wifi duration 1000 interval 0	error	Interval must be positive.
E2E-219	Shell ping defaults	shell	request> ping 1.1.1.1	ok_or_clear	Default count/timeout ping succeeds.
E2E-220	Shell ping size	shell	request> ping 1.1.1.1 size 56 count 2 timeout 7000	ok_or_clear	Ping accepts payload size.
E2E-221	Shell ping order	shell	request> ping count 2 size 56 timeout 7000 1.1.1.1	ok_or_clear	Options before host accepted.
E2E-222	Parser rejects ping size zero	shell-parser	request> ping 1.1.1.1 size 0	error	Ping size zero is rejected.
E2E-223	Parser ping size failure	shell-parser	request> ping 1.1.1.1 size nope	error	Size parse error.
E2E-224	Parser ping timeout boundary	shell-parser	request> ping 1.1.1.1 timeout 0	error	Timeout must be positive.
E2E-225	Parser duplicate ping count	shell-parser	request> ping 1.1.1.1 count 1 count 2	error	Duplicate ping count values are rejected.
E2E-226	Shell traceroute defaults	shell	request> traceroute 1.1.1.1	ok_or_clear	Default traceroute succeeds or returns clear network failure.
E2E-227	Shell traceroute size	shell	request> traceroute 1.1.1.1 size 56 max-hops 8 timeout 30000	ok_or_clear	Traceroute accepts size.
E2E-228	Shell single via	shell	request> traceroute 1.1.1.1 via 192.168.23.254 max-hops 8 timeout 30000	ok_or_clear	Required hop is checked in renderer; pass if hop appears, otherwise clear required-hop failure.
